clqName,certificateNo,registrationNo,address,state,district,certificateIssuedDate,certificateExpiryDate,complaints60d,pastViolations,daysSinceLastInspection
UNIVERSAL BEST SDN BHD,PAC/10202/2022/61583,313534M,"LOT 3329, 3330 JALAN BAKAR SAMPAH - PATANI PARA  08000 SUNGAI PETANI KUALA MUDA KEDAH",KEDAH,KUALA MUDA,6-Jul-22,6-Jul-25,1,0,27
METRO EXCEL RESOURCES SDN BHD,PAC/11004/2021/54363,639802A,SAVANNA EXECUTIVE SUITES JALAN BBLS 2 BANDAR BARU LEMBAH SELATAN 43800 DENGKIL SEPANG SELANGOR,SELANGOR,SEPANG,7-Jul-22,7-Jul-25,10,0,645
YANJIAN GROUP CONSTRUCTIONS (M) SDN BHD,PAC/11004/2022/56696,989976V,"PT 56028, WARISAN PUTERI KOTA WARISAN, SEPANG  43900 SEPANG SEPANG SELANGOR",SELANGOR,SEPANG,7-Jul-22,7-Jul-25,12,0,188
METRO EXCEL RESOURCES SDN BHD,PAC/11004/2022/60418,639802A,"VISTA BANGI SERVICE APARTMENT, LOT 2113, BT 18, JALAN REKO 43000 KAJANG HULU LANGAT SELANGOR",SELANGOR,HULU LANGAT,7-Jul-22,7-Jul-25,0,0,95
RITZ CLEANING SERVICES SDN BHD,PAC/10801/2022/60352,956572U,13 PERSIARAN HALAMAN AMPANG 14 TAMAN IPOH JAYA TIMUR  31350 IPOH KINTA PERAK,PERAK,KINTA,13-Jul-22,13-Jul-25,8,0,86
TEO AH POH,PAC/10104/2022/63312,6.31021E+11,"NO.12,TINGKAT 1,JALAN BESAR,TANGKAK 84900 TANGKAK,JOHOR.  84900 TANGKAK TANGKAK/LEDANG JOHOR",JOHOR,TANGKAK/LEDANG,17-Jul-22,17-Jul-25,0,0,340
TOPNOTCH SOLUTIONS SDN. BHD.,PAC/11004/2022/62393,825871V,"106, Blok C, Jalan 6C/2   43650 BDR BARU BANGI HULU LANGAT SELANGOR",SELANGOR,HULU LANGAT,19-Jul-22,19-Jul-25,3,10,190
TOPNOTCH SOLUTIONS SDN. BHD.,PAC/11004/2022/62394,825871V,"503, BLOK 1, JALAN 6C/11   43650 BDR BARU BANGI HULU LANGAT SELANGOR",SELANGOR,HULU LANGAT,19-Jul-22,19-Jul-25,0,0,34
TOPNOTCH SOLUTIONS SDN. BHD.,PAC/11004/2022/62395,825871V,"112, BLOK A, JALAN 6/2   43650 BDR BARU BANGI HULU LANGAT SELANGOR",SELANGOR,HULU LANGAT,19-Jul-22,19-Jul-25,5,2,212
MEL FORCE ENTERPRISE SDN BHD,PAC/11002/2022/62960,674917U,"M2-G-12, APARTMENT SRI BAYU, SOLOK SUNGAI CHANDONG/KS11, BANDAR ARMADA PUTRA 42920 PELABUHAN KLANG 42920 PELABOHAN KLANG KLANG SELANGOR",SELANGOR,KLANG,19-Jul-22,19-Jul-25,2,0,10
MEL FORCE ENTERPRISE SDN BHD,PAC/11002/2022/62956,674917U,"M2-G-9, APARTMENT SRI BAYU, SOLOK SUNGAI CHANDONG/KS11, BANDAR ARMADA PUTRA 42920 PELABUHAN KLANG 42920 PELABOHAN KLANG KLANG SELANGOR",SELANGOR,KLANG,19-Jul-22,19-Jul-25,5,0,181
LEE HARTA SDN BHD,PAC/11003/2022/63860,2.01301E+11,"Lot PT 1372, Jalan Kesidang 5 Kawasan Industrian Sg Choh  48000 RAWANG GOMBAK SELANGOR",WILAYAH PERSEKUTUAN KUALA LUMPUR,GOMBAK,19-Jul-22,19-Jul-25,10,1,33
HARMONY DORMITORY SDN BHD,PAC/10702/2022/63711,2.02201E+11,"23 units, Taman Telok Molek, Telok Air Tawar, 13050 Butterworth , Pulau Pinang   13050 BUTTERWORTH DAERAH UTARA PULAU PINANG",PULAU PINANG,DAERAH UTARA,20-Jul-22,20-Jul-25,6,0,81
LSH Best Builder Sdn Bhd,PAC/11401/2022/62898,564259P,Sentul Rumawip Jalan Sentul Pasar  53000 KUALA LUMPUR KUALA LUMPUR WP KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,29-Jul-22,29-Jul-25,2,1,20
UNIVERSAL BEST SDN BHD,PAC/10202/2021/52813,313534M,"E-345,E-335 &E-340 LORONG 24,E-311 & E-305 LORONG 25,E-109,E-128,E-125,E-264,E-265 & E-266 LORONG 26,E-97,E-102 & E-90 JALAN INDAH 2 TAMAN SEJATI INDAH  08000 SUNGAI PETANI KUALA MUDA KEDAH",KEDAH,KUALA MUDA,3-Aug-22,3-Aug-25,0,2,106
UNIVERSAL BEST SDN BHD,PAC/10202/2021/53121,313534M,"E-360, E-377 & E-380 LORONG 23, E-405 JALAN INDAH 7 TAMAN SEJATI INDAH  08000 SUNGAI PETANI KUALA MUDA KEDAH",KEDAH,KUALA MUDA,3-Aug-22,3-Aug-25,0,0,228
UNIVERSAL BEST SDN BHD,PAC/10202/2021/53132,313534M,D-309 & D-310 LORONG 19 TAMAN SEJATI INDAH  08000 SUNGAI PETANI KUALA MUDA KEDAH,KEDAH,KUALA MUDA,3-Aug-22,3-Aug-25,1,2,234
PARAMOUNT CONSTRUCTION SDN BHD,PAC/10202/2021/12330,277548D,"LOT 5961,BANDAR AMANJAYA ,MUKIM SUNGAI PETANI, DAERAH KUALA MUDA   08000 SUNGAI PETANI KUALA MUDA KEDAH",KEDAH,KUALA MUDA,3-Aug-22,3-Aug-25,3,2,9
DESTINY UNIQUE SDN. BHD.,PAC/10401/2022/63553,1426770T,"A-G-13, A-G-14, A-G-15, A-G-16, A-01-13, A-01-14, A-01-15, A-01-16, A-02-13, A-02-14, BLOK A, PANGSAPURI BUKIT BERUANG BUKIT BERUANG 75450 AYER KEROH MELAKA TENGAH MELAKA",MELAKA,MELAKA TENGAH,9-Aug-22,9-Aug-25,6,2,581
SOUTHERN SOLUTION SERVICES,PAC/10101/2022/63651,JM0454511P,"NO.8A, JALAN BELADAU 3, TAMAN PUTERI WANGSA, 81800 ULU TIRAM, JOHOR.   81800 ULU TIRAM JOHOR BAHRU JOHOR",JOHOR,JOHOR BAHRU,10-Aug-22,10-Aug-25,0,0,125
SOUTHERN SOLUTION SERVICES,PAC/10101/2022/63658,JM0454511P,"NO.8B, JALAN BELADAU 3, TAMAN PUTERI WANGSA, 81800 ULU TIRAM, JOHOR.   81800 ULU TIRAM JOHOR BAHRU JOHOR",JOHOR,JOHOR BAHRU,10-Aug-22,10-Aug-25,0,0,37
SOUTHERN SOLUTION SERVICES,PAC/10101/2022/63659,JM0454511P,"NO.10A, JALAN BELADAU 3, TAMAN PUTERI WANGSA, 81800 ULU TIRAM, JOHOR.   81800 ULU TIRAM JOHOR BAHRU JOHOR",JOHOR,JOHOR BAHRU,10-Aug-22,10-Aug-25,2,0,114
SOUTHERN SOLUTION SERVICES,PAC/10101/2022/63661,JM0454511P,"NO.10B, JALAN BELADAU 3, TAMAN PUTERI WANGSA, 81800 ULU TIRAM, JOHOR.   81800 ULU TIRAM JOHOR BAHRU JOHOR",JOHOR,JOHOR BAHRU,10-Aug-22,10-Aug-25,3,0,23
CASA HIJAU SDN BHD,PAC/11002/2022/56753,591890W,"PANGSAPURI VILLAMAS , JALAN MUHIBBAH / KU3, KAMPUNG SUNGAI PINANG, 42100 KLANG KLANG SELANGOR",SELANGOR,KLANG,11-Aug-22,11-Aug-25,7,0,59
SHINRAI MANAGEMENT SDN BHD,PAC/11004/2022/58460,1300219U,SERI CEMPAKA   43650 BDR BARU BANGI HULU LANGAT SELANGOR,SELANGOR,HULU LANGAT,11-Aug-22,11-Aug-25,2,0,441
SHINRAI MANAGEMENT SDN BHD,PAC/11004/2022/58461,1300219U,SERI CEMPAKA   43650 BDR BARU BANGI HULU LANGAT SELANGOR,SELANGOR,HULU LANGAT,11-Aug-22,11-Aug-25,2,0,143
CASA HIJAU SDN BHD,PAC/11002/2022/59737,591890W,PANGSAPURI VILLAMAS JALAN MUHIBBAH /KU3 KAMPUNG SUNGAI PINANG 42100 KLANG KLANG SELANGOR,SELANGOR,KLANG,11-Aug-22,11-Aug-25,7,1,244
SHINRAI MANAGEMENT SDN BHD,PAC/11004/2022/61955,1300219U,"JALAN 1/9, SEKSYEN 1   43650 BDR BARU BANGI HULU LANGAT SELANGOR",SELANGOR,HULU LANGAT,11-Aug-22,11-Aug-25,9,1,38
Jom Mari Sdn Bhd,PAC/11002/2022/63474,2.01901E+11,"1-4-07, Block 1, Pangsapuri Sri Kemuning Jalan Anggerik Aranda 31/42 Kota Kemuning 40460 SHAH ALAM PETALING SELANGOR",SELANGOR,PETALING,11-Aug-22,11-Aug-25,9,0,127
Jom Mari Sdn Bhd,PAC/11002/2022/63475,2.01901E+11,"3-3-04, Block 3, Pangsapuri Sri Kemuning Jalan Anggerik Aranda 31/42 Kota Kemuning 40460 SHAH ALAM PETALING SELANGOR",SELANGOR,PETALING,11-Aug-22,11-Aug-25,5,0,197
Jom Mari Sdn Bhd,PAC/11002/2022/63476,2.01901E+11,"4-2-07, Block 4, Pangsapuri Sri Kemuning Jalan Anggerik Aranda 31/42 Kota Kemuning 40460 SHAH ALAM PETALING SELANGOR",SELANGOR,PETALING,11-Aug-22,11-Aug-25,2,1,77
